"Codigo","Nombre","Categoria","Tecnologia","Estado","Departamento","Municipio","Ubicación","Altitud","LONGITUD","LATITUD","Fecha_instalacion","Fecha_suspension","Area Operativa","Corriente","Area Hidrografica","Zona Hidrografica","Subzona hidrografica","Entidad"
"0024030700","COVARACHIA [24030700]","Pluviométrica","Convencional","Activa","Boyacá","Covarachía","    (-72.739228889, 6.500608056)","2,244","-72.739228889","6.500608056","15/06/1974",,"Area Operativa 06 - Boyacá-Casanare-Vichada",,"Magdalena Cauca","Sogamoso","Río Chicamocha","INSTITUTO DE HIDROLOGÍA METEOROLOGÍA Y ESTUDIOS AMBIENTALES"
"0035075040","INSTITUCION AGRICOLA MACANAL [35075040]","Climatológica Principal","Convencional","Activa","Boyacá","Macanal","    (-73.316151944, 4.974416111)","1,742","-73.316151944","4.974416111","15/07/1982",,"Area Operativa 06 - Boyacá-Casanare-Vichada",,"Orinoco","Meta","Río Garagoa","INSTITUTO DE HIDROLOGÍA METEOROLOGÍA Y ESTUDIOS AMBIENTALES"
"0035070170","NAZARETH [35070170]","Pluviométrica","Convencional","Activa","Boyacá","Santa María","    (-73.219595, 4.735228889)","439","-73.219595","4.735228889","15/09/1972",,"Area Operativa 06 - Boyacá-Casanare-Vichada",,"Orinoco","Meta","Río Guavio","INSTITUTO DE HIDROLOGÍA METEOROLOGÍA Y ESTUDIOS AMBIENTALES"
"0035190030","CHAMEZA [35190030]","Pluviográfica","Convencional","Activa","Casanare","Chámeza","    (-72.871813889, 5.215341944)","1,129","-72.871813889","5.215341944","15/11/1974",,"Area Operativa 06 - Boyacá-Casanare-Vichada",,"Orinoco","Meta","Río Cusiana","INSTITUTO DE HIDROLOGÍA METEOROLOGÍA Y ESTUDIOS AMBIENTALES"
"0035060220","LA GLORIA [35060220]","Pluviométrica","Convencional","Activa","Cundinamarca","Ubalá","    (-73.41977778, 4.815694444)","1,845","-73.41977778","4.815694444","15/09/1964",,"Area Operativa 11 - Cundinamarca-Amazonas",,"Orinoco","Meta","Río Guavio","INSTITUTO DE HIDROLOGÍA METEOROLOGÍA Y ESTUDIOS AMBIENTALES"
"0023197510","LADRILLERA  [23197510]","Limnimétrica","Convencional","Activa","Santander","Bucaramanga","    (-73.13333333, 7.116666667)","880","-73.13333333","7.116666667","15/09/1981",,"Area Operativa 08 - Santanderes-Arauca","QUEBRADA IGLESIA","Magdalena Cauca","Medio Magdalena","Río Lebrija y otros directos al Magdalena","PROYECTO COLOMBO - HOLANDÉS"
"2615700040","AGUAS DE MANIZALES - AUT  [2615700040]","Limnigráfica","Automática con Telemetría","Activa","Caldas","Manizales","    (-75.490305556, 5.089916667)","1,659","-75.490305556","5.089916667","04/07/2018",,"Area Operativa 09 - Cauca-Valle-Caldas","QUEBRADA EL GUAMO","Magdalena Cauca","Cauca","Río Chinchiná","CORPORACIÓN AUTÓNOMA REGIONAL DE CALDAS"
"0024035360","SOCHA - AUT [24035360]","Climatológica Ordinaria","Automática con Telemetría","Activa","Boyacá","Socha","    (-72.716411111, 5.983911944)","2,496","-72.716411111","5.983911944","10/12/2004",,"Area Operativa 06 - Boyacá-Casanare-Vichada",,"Magdalena Cauca","Sogamoso","Río Chicamocha","INSTITUTO DE HIDROLOGÍA METEOROLOGÍA Y ESTUDIOS AMBIENTALES"
"0024030860","LA CAPILLA [24030860]","Pluviométrica","Convencional","Activa","Boyacá","Tutazá","    (-72.866663889, 6.101455)","3,292","-72.866663889","6.101455","15/08/1980",,"Area Operativa 06 - Boyacá-Casanare-Vichada",,"Magdalena Cauca","Sogamoso","Río Chicamocha","INSTITUTO DE HIDROLOGÍA METEOROLOGÍA Y ESTUDIOS AMBIENTALES"
"0026090930","PICHICHI  [26090930]","Pluviométrica","Convencional","Activa","Valle Del Cauca","Guacarí","    (-76.28333333, 3.783333333)","1,029","-76.28333333","3.783333333","15/01/1969",,"Area Operativa 09 - Cauca-Valle-Caldas",,"Magdalena Cauca","Cauca","Ríos Guabas,Sabaletas y Sonso","ESTACIONES PARTICULARES"
