River, Reach, RS, Station, Elevation
River1, Reach1, 0, 0, 2545.739134
River1, Reach1, 0, 12.399134, 2545.739134
River1, Reach1, 0, 24.197402, 2539.84
River1, Reach1, 0, 50.197402, 2539.84
River1, Reach1, 0, 61.99567, 2545.739134
River1, Reach1, 0, 74.394805, 2545.739134
River1, Reach1, 1000.0, 0, 2545.809134
River1, Reach1, 1000.0, 12.399134, 2545.809134
River1, Reach1, 1000.0, 24.197402, 2539.91
River1, Reach1, 1000.0, 50.197402, 2539.91
River1, Reach1, 1000.0, 61.99567, 2545.809134
River1, Reach1, 1000.0, 74.394805, 2545.809134
