layer,distance,elevation
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,10.1040331595062,2560.064453125
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,41.0563512181397,2560.75732421875
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,73.9587673023537,2560.98046875
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,77.3682163673004,2561.87426757812
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,106.403244626237,2560.80126953125
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,115.482061979287,2562.15454101562
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,140.155129728734,2564.58056640625
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,167.670402422231,2566.68139648438
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,176.421007176213,2562.53955078125
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,205.260529864349,2563.26586914062
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,235.29111374623,2564.56713867188
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,265.932065781596,2563.6220703125
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,296.973403948283,2563.96020507812
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,320.5120081884,2563.96020507812
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,340.749458298514,2561.01196289062
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,363.381437942123,2559.62622070312
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,386.173918162133,2559.62622070312
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,424.280873111422,2561.04565429688
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,454.974162593157,2561.27319335938
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,484.28253200588,2560.7080078125
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,513.801269492491,2560.40625
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,545.464621582746,2560.94873046875
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,548.317817764894,2563.31762695312
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,578.12874560069,2563.84912109375
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,614.973262997741,2563.5478515625
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,631.245666870253,2562.732421875
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,655.750084619804,2563.748046875
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,656.056864073256,2563.77075195312
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,689.691878501101,2563.52124023438
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,720.046650124966,2561.75390625
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,748.302159772767,2560.31005859375
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,768.350269044796,2561.52368164062
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,787.929802693463,2561.72387695312
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,812.772387681041,2562.283203125
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,832.128301305285,2561.56372070312
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,855.493813348701,2562.4921875
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,881.082923213646,2562.4921875
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,893.459636818473,2563.6640625
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,921.42771658195,2562.115234375
