station,name,latitude,longitude,tr,pmax24hr,n,p_dist
11025501,CARMEN DE ATRATO  - AUT  [11025501],5.888719444,-76.14516667,2.0,47.141607898131625,8,dweibull
11025501,CARMEN DE ATRATO  - AUT  [11025501],5.888719444,-76.14516667,2.33,50.15409742478209,8,dweibull
11025501,CARMEN DE ATRATO  - AUT  [11025501],5.888719444,-76.14516667,5.0,61.996593436339474,8,dweibull
11025501,CARMEN DE ATRATO  - AUT  [11025501],5.888719444,-76.14516667,10.0,71.67347915731196,8,dweibull
11025501,CARMEN DE ATRATO  - AUT  [11025501],5.888719444,-76.14516667,15.0,77.10754519445805,8,dweibull
11025501,CARMEN DE ATRATO  - AUT  [11025501],5.888719444,-76.14516667,20.0,80.88929136895977,8,dweibull
11025501,CARMEN DE ATRATO  - AUT  [11025501],5.888719444,-76.14516667,25.0,83.78681479572481,8,dweibull
11025501,CARMEN DE ATRATO  - AUT  [11025501],5.888719444,-76.14516667,50.0,92.61997804985936,8,dweibull
11025501,CARMEN DE ATRATO  - AUT  [11025501],5.888719444,-76.14516667,75.0,97.6878582258082,8,dweibull
11025501,CARMEN DE ATRATO  - AUT  [11025501],5.888719444,-76.14516667,100.0,101.2456483099665,8,dweibull
11025501,CARMEN DE ATRATO  - AUT  [11025501],5.888719444,-76.14516667,200.0,109.70469672386956,8,dweibull
11025501,CARMEN DE ATRATO  - AUT  [11025501],5.888719444,-76.14516667,250.0,112.39727825112726,8,dweibull
11025501,CARMEN DE ATRATO  - AUT  [11025501],5.888719444,-76.14516667,500.0,120.67740818936728,8,dweibull
11025501,CARMEN DE ATRATO  - AUT  [11025501],5.888719444,-76.14516667,750.0,125.46745957815126,8,dweibull
11025501,CARMEN DE ATRATO  - AUT  [11025501],5.888719444,-76.14516667,1000.0,128.8442066177466,8,dweibull
11027030,EL SIETE [11027030],5.862,-76.15205556,2.0,48.61571813843841,7,dweibull
11027030,EL SIETE [11027030],5.862,-76.15205556,2.33,67.49417379568679,7,dweibull
11027030,EL SIETE [11027030],5.862,-76.15205556,5.0,80.14811377195413,7,dweibull
11027030,EL SIETE [11027030],5.862,-76.15205556,10.0,85.66681049769142,7,dweibull
11027030,EL SIETE [11027030],5.862,-76.15205556,15.0,88.12867079840554,7,dweibull
11027030,EL SIETE [11027030],5.862,-76.15205556,20.0,89.6677509211377,7,dweibull
11027030,EL SIETE [11027030],5.862,-76.15205556,25.0,90.76946417785462,7,dweibull
11027030,EL SIETE [11027030],5.862,-76.15205556,50.0,93.8002749490329,7,dweibull
11027030,EL SIETE [11027030],5.862,-76.15205556,75.0,95.36148499543486,7,dweibull
11027030,EL SIETE [11027030],5.862,-76.15205556,100.0,96.39504078077876,7,dweibull
11027030,EL SIETE [11027030],5.862,-76.15205556,200.0,98.67950274901608,7,dweibull
