station,name,latitude,longitude,tr,pmax24hr,n,p_dist
11025501,CARMEN DE ATRATO  - AUT  [11025501],5.888719444,-76.14516667,2.0,43.81013985559576,8,gamma
11025501,CARMEN DE ATRATO  - AUT  [11025501],5.888719444,-76.14516667,2.33,47.65236267850395,8,gamma
11025501,CARMEN DE ATRATO  - AUT  [11025501],5.888719444,-76.14516667,5.0,62.22199518013053,8,gamma
11025501,CARMEN DE ATRATO  - AUT  [11025501],5.888719444,-76.14516667,10.0,72.14194625948176,8,gamma
11025501,CARMEN DE ATRATO  - AUT  [11025501],5.888719444,-76.14516667,15.0,77.16880934199958,8,gamma
11025501,CARMEN DE ATRATO  - AUT  [11025501],5.888719444,-76.14516667,20.0,80.48853918153958,8,gamma
11025501,CARMEN DE ATRATO  - AUT  [11025501],5.888719444,-76.14516667,25.0,82.94638538513635,8,gamma
11025501,CARMEN DE ATRATO  - AUT  [11025501],5.888719444,-76.14516667,50.0,90.05093311348867,8,gamma
11025501,CARMEN DE ATRATO  - AUT  [11025501],5.888719444,-76.14516667,75.0,93.90360763221042,8,gamma
11025501,CARMEN DE ATRATO  - AUT  [11025501],5.888719444,-76.14516667,100.0,96.52551722117352,8,gamma
11025501,CARMEN DE ATRATO  - AUT  [11025501],5.888719444,-76.14516667,200.0,102.52121332378896,8,gamma
11025501,CARMEN DE ATRATO  - AUT  [11025501],5.888719444,-76.14516667,250.0,104.366897031885,8,gamma
11025501,CARMEN DE ATRATO  - AUT  [11025501],5.888719444,-76.14516667,500.0,109.8773449838418,8,gamma
11025501,CARMEN DE ATRATO  - AUT  [11025501],5.888719444,-76.14516667,750.0,112.9624695308798,8,gamma
11025501,CARMEN DE ATRATO  - AUT  [11025501],5.888719444,-76.14516667,1000.0,115.09656307684172,8,gamma
11027030,EL SIETE [11027030],5.862,-76.15205556,2.0,52.56325026512002,7,gamma
11027030,EL SIETE [11027030],5.862,-76.15205556,2.33,58.00011561686699,7,gamma
11027030,EL SIETE [11027030],5.862,-76.15205556,5.0,78.43866092138921,7,gamma
11027030,EL SIETE [11027030],5.862,-76.15205556,10.0,92.20113156924197,7,gamma
11027030,EL SIETE [11027030],5.862,-76.15205556,15.0,99.13003757720207,7,gamma
11027030,EL SIETE [11027030],5.862,-76.15205556,20.0,103.68972679277545,7,gamma
11027030,EL SIETE [11027030],5.862,-76.15205556,25.0,107.0574779405414,7,gamma
11027030,EL SIETE [11027030],5.862,-76.15205556,50.0,116.75405603960225,7,gamma
11027030,EL SIETE [11027030],5.862,-76.15205556,75.0,121.98916526507604,7,gamma
11027030,EL SIETE [11027030],5.862,-76.15205556,100.0,125.5427561942953,7,gamma
11027030,EL SIETE [11027030],5.862,-76.15205556,200.0,133.64174750790232,7,gamma
11027030,EL SIETE [11027030],5.862,-76.15205556,250.0,136.12738879469362,7,gamma
11027030,EL SIETE [11027030],5.862,-76.15205556,500.0,143.52787189519154,7,gamma
11027030,EL SIETE [11027030],5.862,-76.15205556,750.0,147.65789036509807,7,gamma
11027030,EL SIETE [11027030],5.862,-76.15205556,1000.0,150.50928685035774,7,gamma
11027070,BORAUDO [11027070],5.514611111,-76.57569444,2.0,165.02292003739103,13,gamma
11027070,BORAUDO [11027070],5.514611111,-76.57569444,2.33,172.41704031821155,13,gamma
11027070,BORAUDO [11027070],5.514611111,-76.57569444,5.0,200.2064873796851,13,gamma
11027070,BORAUDO [11027070],5.514611111,-76.57569444,10.0,218.91275910325976,13,gamma
11027070,BORAUDO [11027070],5.514611111,-76.57569444,15.0,228.32891368310263,13,gamma
11027070,BORAUDO [11027070],5.514611111,-76.57569444,20.0,234.5247423177825,13,gamma
11027070,BORAUDO [11027070],5.514611111,-76.57569444,25.0,239.1006110430278,13,gamma
11027070,BORAUDO [11027070],5.514611111,-76.57569444,50.0,252.2741423639912,13,gamma
11027070,BORAUDO [11027070],5.514611111,-76.57569444,75.0,259.3855098902891,13,gamma
11027070,BORAUDO [11027070],5.514611111,-76.57569444,100.0,264.21234022980207,13,gamma
11027070,BORAUDO [11027070],5.514611111,-76.57569444,200.0,275.2120830352044,13,gamma
11027070,BORAUDO [11027070],5.514611111,-76.57569444,250.0,278.58768574772307,13,gamma
11027070,BORAUDO [11027070],5.514611111,-76.57569444,500.0,288.6370172413847,13,gamma
11027070,BORAUDO [11027070],5.514611111,-76.57569444,750.0,294.24475539757145,13,gamma
11027070,BORAUDO [11027070],5.514611111,-76.57569444,1000.0,298.1161595628625,13,gamma
11030010,CERTEGUI [11030010],5.38,-76.61,2.0,186.343107519298,6,gamma
11030010,CERTEGUI [11030010],5.38,-76.61,2.33,244.7701959099261,6,gamma
11030010,CERTEGUI [11030010],5.38,-76.61,5.0,639.6370744347984,6,gamma
11030010,CERTEGUI [11030010],5.38,-76.61,10.0,1089.0375470832016,6,gamma
11030010,CERTEGUI [11030010],5.38,-76.61,15.0,1375.8413426067057,6,gamma
11030010,CERTEGUI [11030010],5.38,-76.61,20.0,1587.0924167713397,6,gamma
11030010,CERTEGUI [11030010],5.38,-76.61,25.0,1754.6334647019692,6,gamma
11030010,CERTEGUI [11030010],5.38,-76.61,50.0,2291.603463827387,6,gamma
11030010,CERTEGUI [11030010],5.38,-76.61,75.0,2615.041490114991,6,gamma
11030010,CERTEGUI [11030010],5.38,-76.61,100.0,2847.8959838418727,6,gamma
11030010,CERTEGUI [11030010],5.38,-76.61,200.0,3418.463480401804,6,gamma
11030010,CERTEGUI [11030010],5.38,-76.61,250.0,3604.601601523394,6,gamma
11030010,CERTEGUI [11030010],5.38,-76.61,500.0,4189.1144260906,6,gamma
11030010,CERTEGUI [11030010],5.38,-76.61,750.0,4534.873015299318,6,gamma
11030010,CERTEGUI [11030010],5.38,-76.61,1000.0,4781.682633796567,6,gamma
11035030,UNION PANAMERICANA - AUT  [11035030],5.284827778,-76.627822222,2.0,146.8177840914077,5,gamma
11035030,UNION PANAMERICANA - AUT  [11035030],5.284827778,-76.627822222,2.33,167.78697837214068,5,gamma
11035030,UNION PANAMERICANA - AUT  [11035030],5.284827778,-76.627822222,5.0,358.6791162126698,5,gamma
11035030,UNION PANAMERICANA - AUT  [11035030],5.284827778,-76.627822222,10.0,620.6187554904213,5,gamma
11035030,UNION PANAMERICANA - AUT  [11035030],5.284827778,-76.627822222,15.0,798.871907908719,5,gamma
