station,name,latitude,longitude,tr,pmax24hr,n,p_dist
11025501,CARMEN DE ATRATO  - AUT  [11025501],5.888719444,-76.14516667,2.0,26.013790332961083,8,lognorm
11025501,CARMEN DE ATRATO  - AUT  [11025501],5.888719444,-76.14516667,2.33,35.26317018040959,8,lognorm
11025501,CARMEN DE ATRATO  - AUT  [11025501],5.888719444,-76.14516667,5.0,109.2210662530258,8,lognorm
11025501,CARMEN DE ATRATO  - AUT  [11025501],5.888719444,-76.14516667,10.0,231.21354599132667,8,lognorm
11025501,CARMEN DE ATRATO  - AUT  [11025501],5.888719444,-76.14516667,15.0,336.16134218883093,8,lognorm
11025501,CARMEN DE ATRATO  - AUT  [11025501],5.888719444,-76.14516667,20.0,429.52418549238007,8,lognorm
11025501,CARMEN DE ATRATO  - AUT  [11025501],5.888719444,-76.14516667,25.0,514.4483059583448,8,lognorm
11025501,CARMEN DE ATRATO  - AUT  [11025501],5.888719444,-76.14516667,50.0,862.4171295349487,8,lognorm
11025501,CARMEN DE ATRATO  - AUT  [11025501],5.888719444,-76.14516667,75.0,1137.9159716641047,8,lognorm
11025501,CARMEN DE ATRATO  - AUT  [11025501],5.888719444,-76.14516667,100.0,1372.5834827303142,8,lognorm
11025501,CARMEN DE ATRATO  - AUT  [11025501],5.888719444,-76.14516667,200.0,2100.12363834442,8,lognorm
11025501,CARMEN DE ATRATO  - AUT  [11025501],5.888719444,-76.14516667,250.0,2391.6096124401647,8,lognorm
11025501,CARMEN DE ATRATO  - AUT  [11025501],5.888719444,-76.14516667,500.0,3516.2499088989675,8,lognorm
11025501,CARMEN DE ATRATO  - AUT  [11025501],5.888719444,-76.14516667,750.0,4355.788310416236,8,lognorm
11025501,CARMEN DE ATRATO  - AUT  [11025501],5.888719444,-76.14516667,1000.0,5047.639370393255,8,lognorm
11027030,EL SIETE [11027030],5.862,-76.15205556,2.0,42.12085702783606,7,lognorm
11027030,EL SIETE [11027030],5.862,-76.15205556,2.33,48.015764805389885,7,lognorm
11027030,EL SIETE [11027030],5.862,-76.15205556,5.0,78.1249919759139,7,lognorm
11027030,EL SIETE [11027030],5.862,-76.15205556,10.0,107.90246828423923,7,lognorm
11027030,EL SIETE [11027030],5.862,-76.15205556,15.0,126.76949198736726,7,lognorm
11027030,EL SIETE [11027030],5.862,-76.15205556,20.0,140.8786375132725,7,lognorm
11027030,EL SIETE [11027030],5.862,-76.15205556,25.0,152.25883628547015,7,lognorm
11027030,EL SIETE [11027030],5.862,-76.15205556,50.0,190.19239848519013,7,lognorm
11027030,EL SIETE [11027030],5.862,-76.15205556,75.0,214.30453085171368,7,lognorm
11027030,EL SIETE [11027030],5.862,-76.15205556,100.0,232.323157829593,7,lognorm
11027030,EL SIETE [11027030],5.862,-76.15205556,200.0,279.01170334387774,7,lognorm
11027030,EL SIETE [11027030],5.862,-76.15205556,250.0,295.07093860765474,7,lognorm
11027030,EL SIETE [11027030],5.862,-76.15205556,500.0,348.3375001317218,7,lognorm
11027030,EL SIETE [11027030],5.862,-76.15205556,750.0,381.9778393070786,7,lognorm
11027030,EL SIETE [11027030],5.862,-76.15205556,1000.0,407.0092506233111,7,lognorm
11027070,BORAUDO [11027070],5.514611111,-76.57569444,2.0,160.2101833727632,13,lognorm
11027070,BORAUDO [11027070],5.514611111,-76.57569444,2.33,167.94834767208852,13,lognorm
11027070,BORAUDO [11027070],5.514611111,-76.57569444,5.0,200.1270598687812,13,lognorm
11027070,BORAUDO [11027070],5.514611111,-76.57569444,10.0,224.80633849684952,13,lognorm
11027070,BORAUDO [11027070],5.514611111,-76.57569444,15.0,238.23768909733263,13,lognorm
11027070,BORAUDO [11027070],5.514611111,-76.57569444,20.0,247.4654561897129,13,lognorm
11027070,BORAUDO [11027070],5.514611111,-76.57569444,25.0,254.48597004482923,13,lognorm
11027070,BORAUDO [11027070],5.514611111,-76.57569444,50.0,275.7113133052941,13,lognorm
11027070,BORAUDO [11027070],5.514611111,-76.57569444,75.0,287.8208102665873,13,lognorm
11027070,BORAUDO [11027070],5.514611111,-76.57569444,100.0,296.3112660427837,13,lognorm
