station,name,latitude,longitude,tr,pmax24hr,n,p_dist
11025501,CARMEN DE ATRATO  - AUT  [11025501],5.888719444,-76.14516667,2.0,45.43339387396932,8,logpearson3
11025501,CARMEN DE ATRATO  - AUT  [11025501],5.888719444,-76.14516667,2.33,56.2383829851085,8,logpearson3
11025501,CARMEN DE ATRATO  - AUT  [11025501],5.888719444,-76.14516667,5.0,94.30787669757332,8,logpearson3
11025501,CARMEN DE ATRATO  - AUT  [11025501],5.888719444,-76.14516667,10.0,110.94117332343674,8,logpearson3
11025501,CARMEN DE ATRATO  - AUT  [11025501],5.888719444,-76.14516667,15.0,116.1517472197246,8,logpearson3
11025501,CARMEN DE ATRATO  - AUT  [11025501],5.888719444,-76.14516667,20.0,118.62917408386564,8,logpearson3
11025501,CARMEN DE ATRATO  - AUT  [11025501],5.888719444,-76.14516667,25.0,120.05733439086248,8,logpearson3
11025501,CARMEN DE ATRATO  - AUT  [11025501],5.888719444,-76.14516667,50.0,122.72316109569026,8,logpearson3
11025501,CARMEN DE ATRATO  - AUT  [11025501],5.888719444,-76.14516667,75.0,123.52811035131178,8,logpearson3
11025501,CARMEN DE ATRATO  - AUT  [11025501],5.888719444,-76.14516667,100.0,123.9063082336826,8,logpearson3
11025501,CARMEN DE ATRATO  - AUT  [11025501],5.888719444,-76.14516667,200.0,124.42948413879648,8,logpearson3
11025501,CARMEN DE ATRATO  - AUT  [11025501],5.888719444,-76.14516667,250.0,124.52519979136268,8,logpearson3
11025501,CARMEN DE ATRATO  - AUT  [11025501],5.888719444,-76.14516667,500.0,124.70268811912804,8,logpearson3
11025501,CARMEN DE ATRATO  - AUT  [11025501],5.888719444,-76.14516667,750.0,124.75598564455754,8,logpearson3
11025501,CARMEN DE ATRATO  - AUT  [11025501],5.888719444,-76.14516667,1000.0,124.78098040606568,8,logpearson3
11027030,EL SIETE [11027030],5.862,-76.15205556,2.0,44.37111213564905,7,logpearson3
11027030,EL SIETE [11027030],5.862,-76.15205556,2.33,50.43869196426504,7,logpearson3
11027030,EL SIETE [11027030],5.862,-76.15205556,5.0,78.92725597802776,7,logpearson3
11027030,EL SIETE [11027030],5.862,-76.15205556,10.0,103.6859535628476,7,logpearson3
11027030,EL SIETE [11027030],5.862,-76.15205556,15.0,117.97824342863034,7,logpearson3
11027030,EL SIETE [11027030],5.862,-76.15205556,20.0,128.07035236369234,7,logpearson3
11027030,EL SIETE [11027030],5.862,-76.15205556,25.0,135.87799121098618,7,logpearson3
11027030,EL SIETE [11027030],5.862,-76.15205556,50.0,160.0459060328171,7,logpearson3
11027030,EL SIETE [11027030],5.862,-76.15205556,75.0,174.1348092109723,7,logpearson3
11027030,EL SIETE [11027030],5.862,-76.15205556,100.0,184.1112498391216,7,logpearson3
11027030,EL SIETE [11027030],5.862,-76.15205556,200.0,208.07894201091364,7,logpearson3
11027030,EL SIETE [11027030],5.862,-76.15205556,250.0,215.7722192342497,7,logpearson3
11027030,EL SIETE [11027030],5.862,-76.15205556,500.0,239.58981610378007,7,logpearson3
11027030,EL SIETE [11027030],5.862,-76.15205556,750.0,253.45953843326305,7,logpearson3
11027030,EL SIETE [11027030],5.862,-76.15205556,1000.0,263.2688927529016,7,logpearson3
11027070,BORAUDO [11027070],5.514611111,-76.57569444,2.0,163.34425007575916,13,logpearson3
11027070,BORAUDO [11027070],5.514611111,-76.57569444,2.33,171.05184719051258,13,logpearson3
11027070,BORAUDO [11027070],5.514611111,-76.57569444,5.0,200.87687221959607,13,logpearson3
11027070,BORAUDO [11027070],5.514611111,-76.57569444,10.0,221.47725121663063,13,logpearson3
11027070,BORAUDO [11027070],5.514611111,-76.57569444,15.0,231.9292407869556,13,logpearson3
11027070,BORAUDO [11027070],5.514611111,-76.57569444,20.0,238.81942544228937,13,logpearson3
11027070,BORAUDO [11027070],5.514611111,-76.57569444,25.0,243.90947134196827,13,logpearson3
11027070,BORAUDO [11027070],5.514611111,-76.57569444,50.0,258.5412588828103,13,logpearson3
11027070,BORAUDO [11027070],5.514611111,-76.57569444,75.0,266.40833575455446,13,logpearson3
11027070,BORAUDO [11027070],5.514611111,-76.57569444,100.0,271.7284603268123,13,logpearson3
11027070,BORAUDO [11027070],5.514611111,-76.57569444,200.0,283.7741698063865,13,logpearson3
11027070,BORAUDO [11027070],5.514611111,-76.57569444,250.0,287.4446914687704,13,logpearson3
