station,name,latitude,longitude,tr,pmax24hr,n,p_dist
11025501,CARMEN DE ATRATO  - AUT  [11025501],5.888719444,-76.14516667,2.0,44.587500000000006,8,norm
11025501,CARMEN DE ATRATO  - AUT  [11025501],5.888719444,-76.14516667,2.33,48.282046715359805,8,norm
11025501,CARMEN DE ATRATO  - AUT  [11025501],5.888719444,-76.14516667,5.0,62.01197840998083,8,norm
11025501,CARMEN DE ATRATO  - AUT  [11025501],5.888719444,-76.14516667,10.0,71.12006202948973,8,norm
11025501,CARMEN DE ATRATO  - AUT  [11025501],5.888719444,-76.14516667,15.0,75.6651850856434,8,norm
11025501,CARMEN DE ATRATO  - AUT  [11025501],5.888719444,-76.14516667,20.0,78.64167468939316,8,norm
11025501,CARMEN DE ATRATO  - AUT  [11025501],5.888719444,-76.14516667,25.0,80.83277333000657,8,norm
11025501,CARMEN DE ATRATO  - AUT  [11025501],5.888719444,-76.14516667,50.0,87.10722517483488,8,norm
11025501,CARMEN DE ATRATO  - AUT  [11025501],5.888719444,-76.14516667,75.0,90.47389622521462,8,norm
11025501,CARMEN DE ATRATO  - AUT  [11025501],5.888719444,-76.14516667,100.0,92.75096913355011,8,norm
11025501,CARMEN DE ATRATO  - AUT  [11025501],5.888719444,-76.14516667,200.0,97.91609996526614,8,norm
11025501,CARMEN DE ATRATO  - AUT  [11025501],5.888719444,-76.14516667,250.0,99.49454281945889,8,norm
11025501,CARMEN DE ATRATO  - AUT  [11025501],5.888719444,-76.14516667,500.0,104.17542991759431,8,norm
11025501,CARMEN DE ATRATO  - AUT  [11025501],5.888719444,-76.14516667,750.0,106.77572408714796,8,norm
11025501,CARMEN DE ATRATO  - AUT  [11025501],5.888719444,-76.14516667,1000.0,108.56602615012638,8,norm
11027030,EL SIETE [11027030],5.862,-76.15205556,2.0,52.97142857142857,7,norm
11027030,EL SIETE [11027030],5.862,-76.15205556,2.33,58.38045254375156,7,norm
11027030,EL SIETE [11027030],5.862,-76.15205556,5.0,78.48184397177408,7,norm
11027030,EL SIETE [11027030],5.862,-76.15205556,10.0,91.81659013563416,7,norm
11027030,EL SIETE [11027030],5.862,-76.15205556,15.0,98.4709056611854,7,norm
11027030,EL SIETE [11027030],5.862,-76.15205556,20.0,102.8286536775032,7,norm
11027030,EL SIETE [11027030],5.862,-76.15205556,25.0,106.03654519597546,7,norm
11027030,EL SIETE [11027030],5.862,-76.15205556,50.0,115.2226952318554,7,norm
11027030,EL SIETE [11027030],5.862,-76.15205556,75.0,120.1516908086934,7,norm
11027030,EL SIETE [11027030],5.862,-76.15205556,100.0,123.48545348564318,7,norm
11027030,EL SIETE [11027030],5.862,-76.15205556,200.0,131.04749523024614,7,norm
11027030,EL SIETE [11027030],5.862,-76.15205556,250.0,133.35842425484745,7,norm
11027030,EL SIETE [11027030],5.862,-76.15205556,500.0,140.2115059658704,7,norm
11027030,EL SIETE [11027030],5.862,-76.15205556,750.0,144.01848272968633,7,norm
11027030,EL SIETE [11027030],5.862,-76.15205556,1000.0,146.6395855394275,7,norm
11027070,BORAUDO [11027070],5.514611111,-76.57569444,2.0,165.6538461538462,13,norm
11027070,BORAUDO [11027070],5.514611111,-76.57569444,2.33,172.99370245205105,13,norm
11027070,BORAUDO [11027070],5.514611111,-76.57569444,5.0,200.27058738186372,13,norm
11027070,BORAUDO [11027070],5.514611111,-76.57569444,10.0,218.36537141620732,13,norm
11027070,BORAUDO [11027070],5.514611111,-76.57569444,15.0,227.3950447861858,13,norm
11027070,BORAUDO [11027070],5.514611111,-76.57569444,20.0,233.3083563905016,13,norm
11027070,BORAUDO [11027070],5.514611111,-76.57569444,25.0,237.6613529544464,13,norm
11027070,BORAUDO [11027070],5.514611111,-76.57569444,50.0,250.12663717986487,13,norm
11027070,BORAUDO [11027070],5.514611111,-76.57569444,75.0,256.81511173897115,13,norm
11027070,BORAUDO [11027070],5.514611111,-76.57569444,100.0,261.3389110614248,13,norm
11027070,BORAUDO [11027070],5.514611111,-76.57569444,200.0,271.60033715426846,13,norm
11027070,BORAUDO [11027070],5.514611111,-76.57569444,250.0,274.7361869938542,13,norm
11027070,BORAUDO [11027070],5.514611111,-76.57569444,500.0,284.03557912377335,13,norm
11027070,BORAUDO [11027070],5.514611111,-76.57569444,750.0,289.2015134069253,13,norm
11027070,BORAUDO [11027070],5.514611111,-76.57569444,1000.0,292.75825822165734,13,norm
11030010,CERTEGUI [11030010],5.38,-76.61,2.0,1289.6733333333334,6,norm
11030010,CERTEGUI [11030010],5.38,-76.61,2.33,1602.551472032172,6,norm
11030010,CERTEGUI [11030010],5.38,-76.61,5.0,2765.2909916641115,6,norm
11030010,CERTEGUI [11030010],5.38,-76.61,10.0,3536.622489013388,6,norm
11030010,CERTEGUI [11030010],5.38,-76.61,15.0,3921.532939882607,6,norm
11030010,CERTEGUI [11030010],5.38,-76.61,20.0,4173.601352823754,6,norm
11030010,CERTEGUI [11030010],5.38,-76.61,25.0,4359.157773461384,6,norm
11030010,CERTEGUI [11030010],5.38,-76.61,50.0,4890.518983864753,6,norm
11030010,CERTEGUI [11030010],5.38,-76.61,75.0,5175.63048820027,6,norm
11030010,CERTEGUI [11030010],5.38,-76.61,100.0,5368.467766527167,6,norm
11030010,CERTEGUI [11030010],5.38,-76.61,200.0,5805.884490490802,6,norm
11030010,CERTEGUI [11030010],5.38,-76.61,250.0,5939.5572520799615,6,norm
11030010,CERTEGUI [11030010],5.38,-76.61,500.0,6335.965081120338,6,norm
11030010,CERTEGUI [11030010],5.38,-76.61,750.0,6556.174828761909,6,norm
11030010,CERTEGUI [11030010],5.38,-76.61,1000.0,6707.789199976818,6,norm
11035030,UNION PANAMERICANA - AUT  [11035030],5.284827778,-76.627822222,2.0,658.7664,5,norm
11035030,UNION PANAMERICANA - AUT  [11035030],5.284827778,-76.627822222,2.33,844.8187259554505,5,norm
11035030,UNION PANAMERICANA - AUT  [11035030],5.284827778,-76.627822222,5.0,1536.2393314585884,5,norm
11035030,UNION PANAMERICANA - AUT  [11035030],5.284827778,-76.627822222,10.0,1994.9099811925005,5,norm
11035030,UNION PANAMERICANA - AUT  [11035030],5.284827778,-76.627822222,15.0,2223.7961698108465,5,norm
11035030,UNION PANAMERICANA - AUT  [11035030],5.284827778,-76.627822222,20.0,2373.6881204681627,5,norm
11035030,UNION PANAMERICANA - AUT  [11035030],5.284827778,-76.627822222,25.0,2484.02885504032,5,norm
11035030,UNION PANAMERICANA - AUT  [11035030],5.284827778,-76.627822222,50.0,2800.0016792497136,5,norm
11035030,UNION PANAMERICANA - AUT  [11035030],5.284827778,-76.627822222,75.0,2969.54263458421,5,norm
11035030,UNION PANAMERICANA - AUT  [11035030],5.284827778,-76.627822222,100.0,3084.212915840812,5,norm
11035030,UNION PANAMERICANA - AUT  [11035030],5.284827778,-76.627822222,200.0,3344.3218491261205,5,norm
11035030,UNION PANAMERICANA - AUT  [11035030],5.284827778,-76.627822222,250.0,3423.810075161914,5,norm
11035030,UNION PANAMERICANA - AUT  [11035030],5.284827778,-76.627822222,500.0,3659.53315548522,5,norm
11035030,UNION PANAMERICANA - AUT  [11035030],5.284827778,-76.627822222,750.0,3790.480417947086,5,norm
11035030,UNION PANAMERICANA - AUT  [11035030],5.284827778,-76.627822222,1000.0,3880.637584344572,5,norm
11037030,LA LOMA PUEBLO [11037030],5.584666667,-76.75327778,2.0,151.47777777777776,9,norm
11037030,LA LOMA PUEBLO [11037030],5.584666667,-76.75327778,2.33,168.39568452127463,9,norm
11037030,LA LOMA PUEBLO [11037030],5.584666667,-76.75327778,5.0,231.26718727924123,9,norm
11037030,LA LOMA PUEBLO [11037030],5.584666667,-76.75327778,10.0,272.9745254612722,9,norm
11037030,LA LOMA PUEBLO [11037030],5.584666667,-76.75327778,15.0,293.78735418584733,9,norm
11037030,LA LOMA PUEBLO [11037030],5.584666667,-76.75327778,20.0,307.417165207014,9,norm
11037030,LA LOMA PUEBLO [11037030],5.584666667,-76.75327778,25.0,317.4505482776867,9,norm
11037030,LA LOMA PUEBLO [11037030],5.584666667,-76.75327778,50.0,346.1822437617509,9,norm
11037030,LA LOMA PUEBLO [11037030],5.584666667,-76.75327778,75.0,361.5987565993232,9,norm
11037030,LA LOMA PUEBLO [11037030],5.584666667,-76.75327778,100.0,372.0258292767927,9,norm
11037030,LA LOMA PUEBLO [11037030],5.584666667,-76.75327778,200.0,395.6777704921096,9,norm
11037030,LA LOMA PUEBLO [11037030],5.584666667,-76.75327778,250.0,402.90570697918986,9,norm
11037030,LA LOMA PUEBLO [11037030],5.584666667,-76.75327778,500.0,424.3402204673706,9,norm
11037030,LA LOMA PUEBLO [11037030],5.584666667,-76.75327778,750.0,436.2473738086114,9,norm
11037030,LA LOMA PUEBLO [11037030],5.584666667,-76.75327778,1000.0,444.4454467192173,9,norm
11045010,AEROPUERTO EL CARAÑO [11045010],5.690555556,-76.64377778,2.0,282.76250000000005,8,norm
11045010,AEROPUERTO EL CARAÑO [11045010],5.690555556,-76.64377778,2.33,321.92823698956767,8,norm
11045010,AEROPUERTO EL CARAÑO [11045010],5.690555556,-76.64377778,5.0,467.4786752613669,8,norm
11045010,AEROPUERTO EL CARAÑO [11045010],5.690555556,-76.64377778,10.0,564.0330931653599,8,norm
11045010,AEROPUERTO EL CARAÑO [11045010],5.690555556,-76.64377778,15.0,612.2157547791535,8,norm
11045010,AEROPUERTO EL CARAÑO [11045010],5.690555556,-76.64377778,20.0,643.7693980144625,8,norm
11045010,AEROPUERTO EL CARAÑO [11045010],5.690555556,-76.64377778,25.0,666.9971441191984,8,norm
11045010,AEROPUERTO EL CARAÑO [11045010],5.690555556,-76.64377778,50.0,733.5123487278161,8,norm
11045010,AEROPUERTO EL CARAÑO [11045010],5.690555556,-76.64377778,75.0,769.2022893479666,8,norm
11045010,AEROPUERTO EL CARAÑO [11045010],5.690555556,-76.64377778,100.0,793.3414451104761,8,norm
11045010,AEROPUERTO EL CARAÑO [11045010],5.690555556,-76.64377778,200.0,848.096783520643,8,norm
11045010,AEROPUERTO EL CARAÑO [11045010],5.690555556,-76.64377778,250.0,864.8297909619508,8,norm
11045010,AEROPUERTO EL CARAÑO [11045010],5.690555556,-76.64377778,500.0,914.451681572036,8,norm
11045010,AEROPUERTO EL CARAÑO [11045010],5.690555556,-76.64377778,750.0,942.0172925621046,8,norm
11045010,AEROPUERTO EL CARAÑO [11045010],5.690555556,-76.64377778,1000.0,960.9962107170654,8,norm
11047040,QUIBDO [11047040],5.697778056,-76.66222222,2.0,113.32941176470588,17,norm
11047040,QUIBDO [11047040],5.697778056,-76.66222222,2.33,121.36625058981814,17,norm
11047040,QUIBDO [11047040],5.697778056,-76.66222222,5.0,151.23331050564417,17,norm
11047040,QUIBDO [11047040],5.697778056,-76.66222222,10.0,171.04635001907454,17,norm
11047040,QUIBDO [11047040],5.697778056,-76.66222222,15.0,180.9334685905476,17,norm
11047040,QUIBDO [11047040],5.697778056,-76.66222222,20.0,187.4083000253504,17,norm
11047040,QUIBDO [11047040],5.697778056,-76.66222222,25.0,192.174651077652,17,norm
11047040,QUIBDO [11047040],5.697778056,-76.66222222,50.0,205.8236213243044,17,norm
11047040,QUIBDO [11047040],5.697778056,-76.66222222,75.0,213.1472241079921,17,norm
11047040,QUIBDO [11047040],5.697778056,-76.66222222,100.0,218.10059711075832,17,norm
11047040,QUIBDO [11047040],5.697778056,-76.66222222,200.0,229.33643392736684,17,norm
11047040,QUIBDO [11047040],5.697778056,-76.66222222,250.0,232.7700596983057,17,norm
11047040,QUIBDO [11047040],5.697778056,-76.66222222,500.0,242.9525091473442,17,norm
11047040,QUIBDO [11047040],5.697778056,-76.66222222,750.0,248.608993351942,17,norm
11047040,QUIBDO [11047040],5.697778056,-76.66222222,1000.0,252.5034816984028,17,norm
11080010,BELLAVISTA [11080010],6.559166667,-76.88541667,2.0,124.96666666666664,6,norm
11080010,BELLAVISTA [11080010],6.559166667,-76.88541667,2.33,133.71853508083393,6,norm
11080010,BELLAVISTA [11080010],6.559166667,-76.88541667,5.0,166.24283773134889,6,norm
11080010,BELLAVISTA [11080010],6.559166667,-76.88541667,10.0,187.81862374368285,6,norm
11080010,BELLAVISTA [11080010],6.559166667,-76.88541667,15.0,198.58538946037527,6,norm
11080010,BELLAVISTA [11080010],6.559166667,-76.88541667,20.0,205.6362802340268,6,norm
11080010,BELLAVISTA [11080010],6.559166667,-76.88541667,25.0,210.82668881795016,6,norm
11080010,BELLAVISTA [11080010],6.559166667,-76.88541667,50.0,225.6899944269087,6,norm
11080010,BELLAVISTA [11080010],6.559166667,-76.88541667,75.0,233.6651708955706,6,norm
11080010,BELLAVISTA [11080010],6.559166667,-76.88541667,100.0,239.0592405876293,6,norm
11080010,BELLAVISTA [11080010],6.559166667,-76.88541667,200.0,251.2947186756997,6,norm
11080010,BELLAVISTA [11080010],6.559166667,-76.88541667,250.0,255.03383073016244,6,norm
11080010,BELLAVISTA [11080010],6.559166667,-76.88541667,500.0,266.12220262004536,6,norm
11080010,BELLAVISTA [11080010],6.559166667,-76.88541667,750.0,272.28193862106747,6,norm
11080010,BELLAVISTA [11080010],6.559166667,-76.88541667,1000.0,276.5229157378701,6,norm
11105020,CARMEN DEL DARIEN [11105020],7.154333333,-76.97719444,2.0,103.975,8,norm
11105020,CARMEN DEL DARIEN [11105020],7.154333333,-76.97719444,2.33,113.18282175935884,8,norm
11105020,CARMEN DEL DARIEN [11105020],7.154333333,-76.97719444,5.0,147.4015699718659,8,norm
11105020,CARMEN DEL DARIEN [11105020],7.154333333,-76.97719444,10.0,170.1014075971716,8,norm
11105020,CARMEN DEL DARIEN [11105020],7.154333333,-76.97719444,15.0,181.42909843443297,8,norm
11105020,CARMEN DEL DARIEN [11105020],7.154333333,-76.97719444,20.0,188.84732531081,8,norm
11105020,CARMEN DEL DARIEN [11105020],7.154333333,-76.97719444,25.0,194.3081429142428,8,norm
11105020,CARMEN DEL DARIEN [11105020],7.154333333,-76.97719444,50.0,209.9457944790933,8,norm
11105020,CARMEN DEL DARIEN [11105020],7.154333333,-76.97719444,75.0,218.3364603286848,8,norm
11105020,CARMEN DEL DARIEN [11105020],7.154333333,-76.97719444,100.0,224.01154934186465,8,norm
11105020,CARMEN DEL DARIEN [11105020],7.154333333,-76.97719444,200.0,236.884469276666,8,norm
11105020,CARMEN DEL DARIEN [11105020],7.154333333,-76.97719444,250.0,240.8183809520324,8,norm
11105020,CARMEN DEL DARIEN [11105020],7.154333333,-76.97719444,500.0,252.4844329459416,8,norm
11105020,CARMEN DEL DARIEN [11105020],7.154333333,-76.97719444,750.0,258.9650778206181,8,norm
11105020,CARMEN DEL DARIEN [11105020],7.154333333,-76.97719444,1000.0,263.4270006385875,8,norm
11117050,DABEIBA 2 [11117050],7.010278056,-76.288333333,2.0,74.7,6,norm
11117050,DABEIBA 2 [11117050],7.010278056,-76.288333333,2.33,79.71810206813204,6,norm
11117050,DABEIBA 2 [11117050],7.010278056,-76.288333333,5.0,98.36672230228696,6,norm
11117050,DABEIBA 2 [11117050],7.010278056,-76.288333333,10.0,110.7377374143062,6,norm
11117050,DABEIBA 2 [11117050],7.010278056,-76.288333333,15.0,116.9111311118814,6,norm
11117050,DABEIBA 2 [11117050],7.010278056,-76.288333333,20.0,120.95393521942007,6,norm
11117050,DABEIBA 2 [11117050],7.010278056,-76.288333333,25.0,123.92998545427888,6,norm
11117050,DABEIBA 2 [11117050],7.010278056,-76.288333333,50.0,132.45223248610768,6,norm
11117050,DABEIBA 2 [11117050],7.010278056,-76.288333333,75.0,137.02499885292448,6,norm
